MAJOR|SEMESTER|COURSE_NAME|CREDITS|TYPE|COURSE_PATH|DETAIL_FILLED
电子科学与技术|大一上学期|C语言程序设计|2.5|必修|/majors/shared/courses/c|no
电子科学与技术|大一上学期|C语言程序设计实验|1.5|必修|/majors/shared/courses/c-lab|no
电子科学与技术|大一上学期|大学生心理健康与职业发展II|0.5|必修|/majors/shared/courses/大学生心理健康与职业发展ii|no
电子科学与技术|大一上学期|大学体育I|1.0|必修|/majors/shared/courses/大学体育i|no
电子科学与技术|大一上学期|大学英语A I|4.0|必修|/majors/shared/courses/english-a1|no
电子科学与技术|大一上学期|高等数学A I|5.0|必修|/majors/shared/courses/math-a1|no
电子科学与技术|大一上学期|国家安全教育|1.0|必修|/majors/shared/courses/国家安全教育|no
电子科学与技术|大一上学期|思想道德与法治|2.5|必修|/majors/shared/courses/思想道德与法治|no
电子科学与技术|大一上学期|形势与政策I|0.5|必修|/majors/shared/courses/形势与政策i|no
电子科学与技术|大一上学期|中国近现代史纲要|2.5|必修|/majors/shared/courses/中国近现代史纲要|no
电子科学与技术|大一上学期|专业概论与新生研讨|0.5|必修|/majors/shared/courses/专业概论与新生研讨|no
电子科学与技术|大一上学期|大学生心理健康与职业发展I|0.5|实践教学|/majors/shared/courses/大学生心理健康与职业发展i|no
电子科学与技术|大一上学期|军训|0.0|实践教学|/majors/shared/courses/军训|no
电子科学与技术|大一下学期|大学体育II|1.0|必修|/majors/shared/courses/大学体育ii|no
电子科学与技术|大一下学期|大学物理B|3.0|必修|/majors/shared/courses/physics-b|no
电子科学与技术|大一下学期|大学物理实验B|1.0|必修|/majors/shared/courses/physics-b-lab|no
电子科学与技术|大一下学期|大学英语A II|4.0|必修|/majors/shared/courses/english-a2|no
电子科学与技术|大一下学期|概率论与数理统计B|4.0|必修|/majors/shared/courses/prob|no
电子科学与技术|大一下学期|高等数学A II|5.0|必修|/majors/shared/courses/math-a2|no
电子科学与技术|大一下学期|人工智能|1.0|必修|/majors/shared/courses/ai-intro|no
电子科学与技术|大一下学期|线性代数|2.0|必修|/majors/shared/courses/linalg|no
电子科学与技术|大一下学期|形势与政策II|0.5|必修|/majors/shared/courses/形势与政策ii|no
电子科学与技术|大二上学期|大学生心理健康与职业发展III|0.5|必修|/majors/shared/courses/大学生心理健康与职业发展iii|no
电子科学与技术|大二上学期|大学体育III|1.0|必修|/majors/shared/courses/大学体育iii|no
电子科学与技术|大二上学期|电磁场与电磁波|3.5|必修|/majors/dianzikexue/courses/em|no
电子科学与技术|大二上学期|电路分析|3.0|必修|/majors/shared/courses/circuit|no
电子科学与技术|大二上学期|电路分析实验|1.0|必修|/majors/shared/courses/circuit-lab|no
电子科学与技术|大二上学期|复变函数与积分变换|2.0|必修|/majors/shared/courses/complex|no
电子科学与技术|大二上学期|固体物理学|3.0|必修|/majors/dianzikexue/courses/solid|no
电子科学与技术|大二上学期|劳动教育|1.0|必修|/majors/shared/courses/劳动教育|no
电子科学与技术|大二上学期|模拟电子技术|3.0|必修|/majors/shared/courses/analog|no
电子科学与技术|大二上学期|模拟电子技术实验|1.0|必修|/majors/shared/courses/analog-lab|no
电子科学与技术|大二上学期|形势与政策III|0.5|必修|/majors/shared/courses/形势与政策iii|no
